Unnamed: 0.1,Unnamed: 0,Wavelength (nm),Sum,Intensity,Bi III (3.3e-02),Denoised,Normalized
529,529,240.28,4818000.0,4818000.0,,6189923.496503529,0.010123281362471922
530,530,240.3,2765000.0,2765000.0,,3106729.883449902,0.007557401396159957
531,531,240.32,1502000.0,1502000.0,,1037914.247086255,0.005835701995621504
532,532,240.35,541400.0,541400.0,,70122.62937063219,0.005030291296485507
533,533,240.38,172300.0,172300.0,,-51185.95151515032,0.004929336476094489
534,534,240.4,74920.0,74920.0,,-50649.277249416795,0.0049297831044674365
535,535,240.43,19360.0,19360.0,,-96682.03146853147,0.004891473956010163
536,536,240.45,7328.0,7328.0,,-79046.92240559454,0.004906150158262508
537,537,240.47,2624.0,2624.0,,-28924.598223310084,0.004947862708178225
538,538,240.5,506.7,506.7,,-9082.234793240108,0.00496437582061915
539,539,240.53,86.34,86.34,,-4584.062768018658,0.004968119266841819
540,540,240.55,24.76,24.76,,-1096.7395081491863,0.0049710214695613195
541,541,240.57,6.717,6.717,,-487.58830046713405,0.004971528414332361
542,542,240.6,0.8553,0.8553,,-195.1922069774364,0.0049717717507467
543,543,240.62,0.202,0.202,,-36.87529623875534,0.004971903504454243
544,544,240.65,0.02088,0.02088,,-5.8550632673147005,0.004971929319957362
545,545,240.68,0.001906,0.001906,,-1.812068367202569,0.004971932684598354
546,546,240.7,0.0003604,0.0003604,,-0.5211833794914512,0.004971933758892201
547,547,240.72,6.447e-05,6.447e-05,,-0.06500271647882488,0.0049719341385325916
548,548,240.75,4.396e-06,4.396e-06,9.808e-11,-0.01624595989966159,0.004971934179108695
549,549,240.78,2.663e-07,2.645e-07,1.786e-09,-0.0016639271458666715,0.004971934191244081
550,550,240.8,4.944e-08,3.79e-08,1.154e-08,-0.00014504311591328708,0.00497193419250812
551,551,240.82,7.573e-08,5.137e-09,7.06e-08,-2.8918666910955795e-05,0.00497193419260476
691,691,251.68,7.708e-10,7.708e-10,,-7.945355503030325e-06,0.004971934192622214
692,692,251.7,5.195e-09,5.195e-09,,-1.3124808729137566e-05,0.004971934192617903
693,693,251.72,3.33e-08,3.33e-08,,-0.00013607747880373003,0.004971934192515581
694,694,251.75,4.918e-07,4.918e-07,,-0.0012454279403188845,0.0049719341915923625
695,695,251.78,6.488e-06,6.488e-06,,-0.004789703562971575,0.004971934188642764
696,696,251.8,3.402e-05,3.402e-05,,-0.03670649046525372,0.004971934162081135
697,697,251.82,0.0001696,0.0001696,,-0.12436615966461571,0.004971934089129443
698,698,251.85,0.001719,0.001719,,-0.3934938846634042,0.004971933865157314
699,699,251.88,0.01556,0.01556,,-2.4425721772326408,0.004971932159883627
